"id","est.risk.score","est.risk.bin","true.risk.score","true.risk.bin"
1,0.930170312036014,1,0.565031056720426,0
2,0.566821803205129,1,0.201662026483776,0
3,0.769382949948578,1,0.974880733275718,1
4,0.664983687336455,1,0.116660406823581,0
5,0.471889385136342,0,0.46547706876301,0
6,0.774233628970625,1,0.303544654870102,0
7,0.435778200388138,0,0.568112419138366,0
8,0.510068000521484,0,0.0572692128712931,0
9,0.35323269837648,0,0.413999931004143,0
10,0.482279289597438,1,0.829972048593786,1
11,0.470748833674837,1,0.0940443099841953,0
12,0.994962157386508,1,0.942072032350406,1
13,0.747166262831967,1,0.430781696868201,0
14,0.000292837561448565,0,0.078736271706105,0
15,0.387211347492765,0,0.0450605810129337,0
16,0.638974047639003,1,0.397239154150136,0
17,0.590032086326983,1,0.363571239018466,0
18,0.000455706701886517,0,0.523862013373969,0
19,0.152635279703842,0,0,0
20,0.357679121205639,0,0.0898966821491182,0
21,0.349359409657408,0,0.0388734483720226,0
22,0.378979990736961,0,0.110926489692987,0
23,0.919806169890225,1,0.923201837904698,1
24,0.251482072672075,0,0.343031486836702,0
25,0.403863802526441,0,0.00270483898301477,0
26,0.782951025808607,1,0,0
27,0.351041030709295,0,0,0
28,0.441150204675016,0,0.00517297316912295,0
29,0.812731899417931,1,1,1
30,0.442446963707469,0,6.1127324297694e-05,0
31,0.352025604718168,0,0.0420567888624754,0
32,0.371945766962587,0,0.123570532747555,0
33,0.190101932485939,0,0.0708518243469409,0
34,0.435161042070066,1,0.875504010573102,1
35,0.650379447743294,1,0.90440033873128,1
36,0.362254920492097,0,0.919806813407577,1
37,0.312954106524346,0,0.0651723650097702,0
38,0.567355780339093,1,0.736365098886875,1
39,0.475762095243589,0,0.304678292622858,0
40,0.994983019056887,1,0.938071953788878,1
41,0.656623621315768,1,0.902280935856224,1
42,0.589848944526399,1,0.703707928165195,1
43,0.408702700762439,0,1,1
44,0.576240634140849,1,0.934526073613858,1
45,0.576119483865208,1,0.90155012594308,1
46,0.763055671590712,1,0.93121153073502,1
47,0.118955141649492,0,0.629350881743889,1
48,0.445391267689422,0,0.109578248279023,0
49,0.476230937144884,1,0.685348125637542,1
50,0.32919280186889,0,0.924601399887673,1
51,0.828263101208563,1,0.96064902312699,1
52,0.48945371051294,0,1,1
53,0.884845719182622,1,0.246859238799726,0
54,0.78914171267149,1,0.942554863119801,1
55,0.338561000002076,0,0.0970461959615103,0
56,0.99503329684941,1,0.936301132504893,1
57,0.403529567422807,0,0.673099947937622,1
58,0.448475928385817,1,0.00295735356460888,0
59,0.541898927207335,1,0.211693660882144,0
60,0.490536973601196,1,0.896314398743669,1
61,0.397968586227345,0,0.557880048809206,0
62,0.352706622017256,0,0.84848746793861,1
63,0.594398224597533,1,0.937071209536607,1
64,0.453607975377296,0,0.0607726294564985,0
65,0.543302634041583,0,0.257442606136581,0
66,0.609672123425785,1,1,1
67,0.694869952418406,1,0.94789337084857,1
68,0.000473207375707634,0,0.0625605790653935,0
69,0.0873810305552682,0,0,0
70,0.13062618750898,0,0.0891142364850721,0
71,0.210974794430879,0,0.191765567899675,0
72,0.548026756143133,1,0.221743594360981,0
73,0.319762774231639,0,0.427611424001646,0
74,0.238099127567521,0,0.890754016131715,1
75,0.704652549357396,1,0.611411280159325,1
76,0.268538970866951,0,0.126503412033092,0
77,0.53642462578929,0,0.542202242786954,0
78,0.301136918232228,0,0.224012405228477,0
79,0.333752230538283,0,0.0306667431253729,0
80,0.890045644300008,1,0.979507550418153,1
81,0.315191254015451,0,0.241652511939204,0
82,0.793895777010027,1,0.948835428578858,1
83,0.995033102081264,1,0.792757101732393,1
84,0.527923822856078,0,0.778868059965162,1
85,0.378134465212752,0,0.655545823353214,1
86,0.40737132354139,0,0.0774168411515554,0
87,0.459239800519421,0,0.837521966392905,1
88,0.413454180057167,0,0.0859926102921952,0
89,0.849765313110055,1,0.945561110441392,1
90,0.880666004114237,1,0.904744827618254,1
91,0.745953814500237,1,0.97458789164229,1
92,0.34426938229451,0,0.695660252485282,1
93,0.59334772991749,1,0.954789916500247,1
94,0.115353661690885,0,0.0550269701492588,0
95,0.624878120785968,1,0.94348460446063,1
96,0.760218333880884,1,0.605163689880752,1
97,0.994708819715214,1,0.702257386044905,1
98,0.837187209928661,1,0.0204411404913598,0
99,0.519347635822638,0,0.00731103319149425,0
100,0.30206280970278,0,0.570365806378715,0
101,0.21619912241483,0,0.398635099990354,0
102,0.906404609715877,1,0.939569025725307,1
103,0.518143022326095,0,0.59557116109926,0
104,0.637505652943577,1,0.966499133295704,1
105,0.732569111920168,1,0.983115679915104,1
106,0.376928797154775,0,0.0804218651712359,0
107,0.994999637763776,1,0.843811358316585,1
108,0.0123971337832359,0,0.446472468928718,0
109,0.610425959436348,1,0.104264952305554,0
110,0.59888919024524,1,0.415708727841994,0
111,0.602581286429153,1,0.700279551736181,1
112,0.53168672479409,1,0.893321851927803,1
113,0.427046688413812,0,0.337221118236885,0
114,0.0183747724162479,0,0.209612162048607,0
115,0.967361897520817,1,0.923383842170484,1
116,0.640493514592509,1,0.935723517322638,1
117,0.783000122131435,1,0.941478738045484,1
118,0.480814395857001,0,0.64074432414507,1
119,0.306209246665178,0,0.177694279003713,0
120,0.54634495288311,1,0.103275801729728,0
121,0.305209015702099,0,0.801423945655121,1
122,0.872965856117271,1,0.194099662578924,0
123,0.391546714296771,0,0,0
124,0.553393566572566,1,0.914237180592548,1
125,0.108726788931833,0,0.268158352663539,0
126,0.43580877061315,0,0.929654679635269,1
127,0.995001403735207,1,0.853695818894484,1
128,0.122550527449939,0,0.012373096801209,0
129,0.383213423785598,0,0.963423304050342,1
130,0.481621582469473,0,0.0763082116221977,0
131,0.462219958626425,1,0.862874287420301,1
132,0.229283501247959,0,0.48676400020048,0
133,0.616732736728623,1,0.653918681095768,1
